Subjectivity,Polarity
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,-0.5
0.0,-0.2
0.8666666666666667,-0.9099999999999998
0.0,0.0
0.4,0.125
0.55,0.35
0.0,0.0
0.375,-0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.6,-0.4
0.2,-0.5
0.0,0.0
0.0,-0.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.2,-0.30000000000000004
0.0,0.0
0.0,0.0
0.55,-0.06666666666666665
0.0,0.0
1.0,0.0
0.0,-0.2
0.75,0.0
0.9,-0.8
0.0,0.0
0.06666666666666667,-0.16666666666666666
0.38333333333333336,0.11666666666666665
0.6300000000000001,0.09
0.7999999999999999,-0.08888888888888885
0.3,-0.1535714285714286
